Construction Progress Report - 7-floor Office,,,,,,,,
Date: 2025-10-06,,,,,,,,
,,,,,,,,
Phase,Planned Start,Actual Start,Planned End,Actual End,Status,Progress,Days Behind/Ahead,Issues
Foundation & Piles,11/10/25,11/10/25,12/2/25,,InProgress,70.00%,1,
Level 1 Columns,11/26/25,,12/5/25,,NotStarted,0.00%,,
Level 1 Beams & Slabs,12/5/25,,12/18/25,,NotStarted,0.00%,,
Level 2 Columns,12/17/25,,12/26/25,,NotStarted,0.00%,,
Level 2 Beams & Slabs,12/26/25,,1/8/26,,NotStarted,0.00%,,
Level 3 Columns,1/7/26,,1/16/26,,NotStarted,0.00%,,
Level 3 Beams & Slabs,1/16/26,,1/29/26,,NotStarted,0.00%,,
Level 4 Columns,1/28/26,,2/6/26,,NotStarted,0.00%,,
Level 4 Beams & Slabs,2/6/26,,2/19/26,,NotStarted,0.00%,,
Level 5 Columns,2/18/26,,2/27/26,,NotStarted,0.00%,,
Level 5 Beams & Slabs,2/27/26,,3/12/26,,NotStarted,0.00%,,
Level 6 Columns,3/11/26,,3/20/26,,NotStarted,0.00%,,
Level 6 Beams & Slabs,3/20/26,,4/2/26,,NotStarted,0.00%,,
Level 7 Columns,4/1/26,,4/10/26,,NotStarted,0.00%,,
Level 7 Beams & Slabs,4/10/26,,4/23/26,,NotStarted,0.00%,,
Level 8 Columns,4/22/26,,5/1/26,,NotStarted,0.00%,,
Level 8 Beams & Slabs,5/1/26,,5/14/26,,NotStarted,0.00%,,
Roof Columns,5/13/26,,5/22/26,,NotStarted,0.00%,,
Roof Beams & Slabs,5/22/26,,6/4/26,,NotStarted,0.00%,,
Level 1 Architecture,5/26/26,,6/15/26,,NotStarted,0.00%,,
Level 2 Architecture,6/4/26,,6/24/26,,NotStarted,0.00%,,
Level 3 Architecture,6/15/26,,7/3/26,,NotStarted,0.00%,,
Level 4 Architecture,6/24/26,,7/14/26,,NotStarted,0.00%,,
Level 5 Architecture,7/3/26,,7/23/26,,NotStarted,0.00%,,
Level 6 Architecture,7/14/26,,8/3/26,,NotStarted,0.00%,,
Level 7 Architecture,7/23/26,,8/12/26,,NotStarted,0.00%,,
Level 8 Architecture,8/3/26,,8/21/26,,NotStarted,0.00%,,
Roof Architecture,8/12/26,,9/1/26,,NotStarted,0.00%,,
MEP Installation,8/12/26,,9/17/26,,NotStarted,0.00%,,
,,,,,,,,
Phase Status Summary,,,,,,,,
Not Started:,28,,,,,,,
In Progress:,1,,,,,,,
Completed:,0,,,,,,,
Delayed:,0,,,,,,,
